context,layer,n_prompts,n_utterances,mean_similarity,std_similarity,max_similarity,min_similarity
lonely,22,100,100,0.936582298344142,0.04034467980306178,0.9970423267950552,0.6171926363869482
lonely,23,100,100,0.9318256188438525,0.04108318172706903,0.9967641436788703,0.6118714120823633
lonely,24,100,100,0.9269999822986338,0.04154934386008536,0.996370669699126,0.6082775811838175
lonely,25,100,100,0.9204754225387068,0.04345799797363818,0.9959329161018663,0.5916553414970844
lonely,26,100,100,0.9116862841557795,0.044527028157874494,0.995524358826428,0.5900252445012867
lonely,27,100,100,0.8953462187116263,0.04934508384721023,0.9947919104387877,0.5546116524045372
lonely,28,100,100,0.8200048617993787,0.05559371613308561,0.9876165113549733,0.4721980657978801
sad,0,100,100,0.497298626977663,0.13679572153500072,0.9454277619961171,-0.05984281554161072
sad,1,100,100,0.8868757827682335,0.05488949986570613,0.9940957160423423,0.485273239120581
sad,2,100,100,0.9992157876248114,0.0008343582480551949,0.9999867432889851,0.993166042226516
sad,3,100,100,0.9983499741234882,0.0016900356235356507,0.9999737865055311,0.9857691560760025
sad,4,100,100,0.9967803625603366,0.003036575266718332,0.999962393611826,0.9754487814926384
sad,5,100,100,0.99526009112391,0.004114211807796198,0.9999522169314113,0.9677173968616692
sad,6,100,100,0.994005054770135,0.0053827436362426885,0.9999458713291547,0.9584776837070128
sad,7,100,100,0.9926772180858934,0.006159995416710507,0.9999322806929333,0.9527315533955847
sad,8,100,100,0.9907415792990388,0.007701233270604815,0.9999174518852674,0.9408431535118758
sad,9,100,100,0.9896994570370667,0.008712445932968597,0.9999262685171137,0.9327597167099835
sad,10,100,100,0.9887209392257659,0.009872633286686474,0.9999257025778343,0.9243887833962969
sad,11,100,100,0.9890689053017863,0.009560221123995493,0.9999260641587914,0.9260180664848845
sad,12,100,100,0.985242694651998,0.013631201256337034,0.9999061745064765,0.8929982494267787
sad,13,100,100,0.9834769481637835,0.015096145035363988,0.9998843657027426,0.8845930210124492
sad,14,100,100,0.9807868663575692,0.01778826627116546,0.9998664932895076,0.8623194352179246
sad,15,100,100,0.9747478683750925,0.021817626872977315,0.9998399657485296,0.8299291945123559
sad,16,100,100,0.9699148063001012,0.02460883479193,0.9998172439709174,0.8134371758061408
sad,17,100,100,0.9650293331009984,0.027315387365942547,0.9997883635174776,0.7871761714874489
sad,18,100,100,0.9625012492213387,0.02819398708276032,0.9997683912375976,0.7777004493533464
sad,19,100,100,0.9588751283229608,0.02995034014987259,0.9997220636179236,0.765010204022157
sad,20,100,100,0.949020469310931,0.03482797239073795,0.9996335574823658,0.7258018992746856
sad,21,100,100,0.9416245377438464,0.03832800504254964,0.9995952830589324,0.6950149990510993
sad,22,100,100,0.9361950099874803,0.04028075131797661,0.9995683168180751,0.6708470783668762
sad,23,100,100,0.9313155548395754,0.04118249766682413,0.9995205566813226,0.6605002132841306
sad,24,100,100,0.9267045412999926,0.04165335365861836,0.9994707762548422,0.6477432049855867
sad,25,100,100,0.9201888911973166,0.04371028708446449,0.9993812586934316,0.6236601418423164
sad,26,100,100,0.9103488509153174,0.046276621423109385,0.9992934055115643,0.6033411910910761
sad,27,100,100,0.8932187197477575,0.05296223838704973,0.9991338364304642,0.5418848293911273
sad,28,100,100,0.8092396303542937,0.05330383058831049,0.997208850517438,0.5518617970196056
terrified,0,100,100,0.5424439777485193,0.12171599101473864,0.8566053908906573,0.15646139763170427
terrified,1,100,100,0.8622897025612739,0.07370974400175084,0.9786372228928673,0.4429591849600215
terrified,2,100,100,0.9985569197415256,0.0019695569593482084,0.9999414893469711,0.9842740704296887
terrified,3,100,100,0.9969732326081255,0.004025242199871291,0.9998911435015819,0.9673713913342592
terrified,4,100,100,0.9942258604293113,0.007158431301220728,0.9998346236014487,0.9408383626760878
terrified,5,100,100,0.9916678925104055,0.00947397491895745,0.9997645599741414,0.920855349991283
terrified,6,100,100,0.9893596930875312,0.01228832657348733,0.9997479977412949,0.8995017012008117
terrified,7,100,100,0.9874425478320094,0.013191857582775478,0.9997354361003208,0.8967516873361462
terrified,8,100,100,0.9841365327648715,0.016528278943658617,0.9996739573985078,0.8739589673939933
terrified,9,100,100,0.9822599118266149,0.01905157201864155,0.9996838577795271,0.8562475441595465
terrified,10,100,100,0.9803043811056794,0.02165010031628669,0.9996927022449735,0.8362354894509579
terrified,11,100,100,0.9811732163786916,0.020537051945986737,0.9996880387283713,0.8459888492587797
terrified,12,100,100,0.9743481546242577,0.028150233255522177,0.9996645307019016,0.7879961710918784
terrified,13,100,100,0.9715525968898037,0.03064044915253729,0.9996202950003593,0.7734224926698703
terrified,14,100,100,0.9675746481757443,0.034246517031080934,0.9995433756170203,0.7480630950875203
terrified,15,100,100,0.9584765935242094,0.04005458968374414,0.9994110733607693,0.7066467322963569
